uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,subamostra,plantas
0473ba07-ef67-4322-b3ad-56e7e8b43890,af04febc-a4bf-4e06-ba51-f2be7aa3193c,9a330517-2ddc-44e8-90ce-f18b1de87e6a,03c33e63-b9ed-4572-ba19-35f2084ce29e,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-B-24,Maisa,Dourados,MS,MACRO II,REC 204,2024/25,Safra,10/24/2024,3/1/2025,0,0,0,Luis Tosin ,SE24-130204-03,SE24-130204-03,LINHAGEM,Faixa,1,260,57,1,27
04a9f3d3-31d0-473b-a4a6-e1bef5c704da,b5e8e2a0-4417-46c9-b7eb-bdbfe9bce4e8,85992d55-2ee3-478d-a523-87c5276b9f6a,b2298c08-7619-43c0-9f79-bbceafe8dbc4,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M1-103-A-24,FAPA AGRÁRIA,Guarapuava,PR,MACRO I,REC 103,2024/25,Safra,11/12/2024,4/3/2025,-25.32376,-51.29328,1150,RAQUEL BARTOLOMEU,SE24-130204-03,SE24-130204-03,LINHAGEM,Faixa,10,250,57,1,71
04ba3fed-c143-454f-a303-19f53129ca8a,93b4d9cf-73ac-4ba7-9089-2f13c4af0ad1,8da9c338-4acc-4c29-8a65-b5c28c87670b,6e37f26a-6e29-450b-b77e-0d471ba4a684,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M2-204-C-24,Recanto,Sidrolândia,MS,MACRO II,REC 204,2024/25,Safra,10/25/2024,2/27/2025,-21.06344,-55.03496,485,Luiz Neves,77EA40,77EA40 E,STINE,Faixa,28,300,77,1,130
0509e59b-9c9f-4f59-8160-fa95b24dd113,9cea9d76-6168-4d49-a765-d2d49447cb1c,5b064a3f-0865-4463-a4fe-f3aae45811ce,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/16/2024,2/9/2025,-12.385359,-55.593431,380,Luiz Penna,76EA72,76EA72 E,STINE,Faixa,18,300,76,1,121
050a7cb1-9fe7-45fd-b959-9aa55efe33a3,ba23c99d-5a60-454a-b6cb-53cb22c6beff,ff2d88e6-1052-4d35-8d0d-cfdd599c41fd,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,dc5ab980-65ce-4491-9a4b-341e27c4bec3,M4-403-A-24,Córrego Fundo,Água Boa,MT,MACRO IV,REC 403,2024/25,Safra,11/3/2024,3/7/2025,-13.6462318,-52.6649138,450,Maklane Duarte,NC25-96785-6,NC25-96785-6,LINHAGEM,Faixa,5,300,70,1,130
051486fe-6ad2-45eb-8812-7b46fa54db9a,9cea9d76-6168-4d49-a765-d2d49447cb1c,8fa3c28f-64ef-4851-85ea-4cd46e78c9c9,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/16/2024,2/9/2025,-12.385359,-55.593431,380,Luiz Penna,NC25-51243-2,NC25-51243-2,LINHAGEM,Faixa,24,300,79,1,127
0524f599-2748-4585-82c5-390223162870,df2923ef-d99e-4d84-9ba8-dc64ca0a9406,13b90aab-0480-4d9b-ae89-218445de7a55,fef92cc4-2b5a-47fa-bbe6-0b8d89bbfea9,586073f9-041b-4931-9e42-b44975c8b383,M4-401-A-24,Bom Jesus,Pedra Preta,MT,MACRO IV,REC 401,2024/25,Safra,10/31/2024,3/2/2025,-16.7886,-54.1188,724,Tamila Ribeiro,NC25-41893-3,NC25-41893-3,LINHAGEM,Faixa,9,300,73,1,140
052b5642-8caa-49ed-a931-e42f01b4f1ce,a09202c2-f0e8-4227-8d31-42f30d0ead47,0b72aeed-d617-48ec-9325-644047bfafb2,9ac6429e-ec51-4764-a767-7c89528ba0d6,586073f9-041b-4931-9e42-b44975c8b383,M4-401-F-24,Ponte de Pedra,Itiquira,MT,MACRO IV,REC 401,2024/25,Safra,10/28/2024,2/25/2025,-17.1054,-54.7112,485,Tamila Ribeiro,TM G2379,TMG 2379 IPRO,CHECK,Faixa,29,300,79,1,160
052d90ae-3834-4fbe-b401-b20a14ebb54d,b45c8a3d-154c-4642-83bf-9a6c164234a3,a61d3140-ffc1-4259-bfaa-6552aebe4903,7ad26bed-aa41-4b96-82c9-98dd5df4d60d,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-B-24,Fortuna,Costa Rica,MS,MACRO III,REC 301,2024/25,Safra,11/2/2024,2/28/2025,-18.4089,-52.9393,860,Luiz Neves,NC25-51943-4,NC25-51943-4,LINHAGEM,Faixa,7,300,69,1,140
05ab6125-1f02-42ae-83ef-1168ac3d7f70,b0129953-4810-4ba8-a69d-bc1e1bfc66de,d1b0eba7-5ab7-444c-9fb8-b6e182802dc2,5a9cc3ee-09d0-43f0-9aee-d79dba23f0a6,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M2-201-B-24,FAZENDA J&J,Mamborê,PR,MACRO II,REC 201,2024/25,Safra,10/14/2024,2/17/2025,-24.337283,-52.697725,665,RAQUEL BARTOLOMEU,SC25-4681-7,SC25-4681-7,LINHAGEM,Faixa,28,250,62,1,71
05d7f3f6-71cc-4638-8272-b88cbd01078c,19c16505-a5f7-4186-8e05-321fd128b020,5c537cff-d7f0-424b-8310-e6f853a25481,06808f13-42e9-45c2-9488-6e1b773718a6,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M1-102-E-24,FAZENDA 3 GERAÇÕES,Dois Vizinhos,PR,MACRO I,REC 102,2024/25,Safra,10/16/2024,2/24/2025,-25.74063,-53.130417,645,RAQUEL BARTOLOMEU,DM 66I68 IPRO,DM 66I68 RSF IPRO,CHECK,Faixa,33,250,66,1,91
064e9cb2-19df-4c71-bc61-66739999444f,36b3844d-d11d-4432-ae66-d00614f08f6a,8ea9afc0-d4a2-4b1e-8f82-32fe4f01f8fc,72f0c8c0-97f7-4dc2-ada1-e4160602a0f7,7e3a92bf-2ddd-4c2a-a9a1-7ee7b42924db,M3-303-B-24,GM SEEDS,Tupaciguara,MG,MACRO III,REC 303,2024/25,Safra,10/30/2024,3/2/2025,-18.53419,-48.73291,889,Fúlvio Gibello,NC25-49859-7,NC25-49859-7,LINHAGEM,Faixa,10,300,70,1,147
06902e0d-6fed-4f39-a0dc-6758fe91e6f4,7170c336-a62f-448e-9ced-cafcebb8fe6a,8fd513cd-0ca3-45b1-a864-6dc78d53ca36,8489999e-b5f5-42d5-9898-8cb0def425f7,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-C-24,Fazenda Carandá II,Nova Mutum,MT,MACRO IV,REC 402,2024/25,Safra,10/21/2024,2/10/2025,-13.5204,-55.3329,500,Lara Martins,DM 73I75 IPRO,DM 73I75 RSF IPRO,CHECK,Faixa,10,300,73,1,104
06c409f1-da15-4b55-af2a-4edae5f28a93,7170c336-a62f-448e-9ced-cafcebb8fe6a,65c6355e-964a-40e9-98a9-b4a16bd3c5d9,8489999e-b5f5-42d5-9898-8cb0def425f7,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-C-24,Fazenda Carandá II,Nova Mutum,MT,MACRO IV,REC 402,2024/25,Safra,10/21/2024,2/10/2025,-13.5204,-55.3329,500,Lara Martins,84KA92,84KA92 CE,DP2,Faixa,43,300,84,1,108
070a5f85-2d53-4074-9c9f-351939c4560b,ba23c99d-5a60-454a-b6cb-53cb22c6beff,4036552d-16bc-445c-8c7c-b39202efc95c,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,dc5ab980-65ce-4491-9a4b-341e27c4bec3,M4-403-A-24,Córrego Fundo,Água Boa,MT,MACRO IV,REC 403,2024/25,Safra,11/3/2024,3/7/2025,-13.6462318,-52.6649138,450,Maklane Duarte,B�NUS IPRO,BMX BÖNUS IPRO,CHECK,Faixa,27,300,79,1,120
07981159-e597-4c5c-a708-8a5e65f4d58b,909187fe-e212-4968-8e38-48edb4dd803d,59b3a2be-c11d-4488-beef-3fc4b4326770,a512ba74-dcc1-4745-8d13-f41d08e99d49,83e6b5e4-067e-48da-afd6-9fc9fd326829,M1-102-I-24,Xíru,Cruz Alta,RS,MACRO I,REC 102,2024/25,Safra,11/21/2024,,0,0,0,ANDRE LUIS DOS SANTOS RITTER,SE24-130204-03,SE24-130204-03,LINHAGEM,Faixa,10,250,57,1,84
07a0273a-4a15-40c0-a33b-6b2e4e4c663b,000c175b-7af1-435e-85a5-da1bcc47feb9,51f525a3-1394-45bc-baad-b1e213955912,9396310c-0c93-49dc-9e82-6ebaf4a9efa6,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-L-24,fazenda Noro,Sinop,MT,MACRO IV,REC 402,2024/25,Safra,10/19/2024,2/13/2025,-11.681492,-55.541479,350,Luiz Penna,OLIMPO IPRO,BMX OLIMPO IPRO,CHECK,Faixa,26,300,79,1,122
07ae7c21-da08-4385-aa6e-eea2bfe06ce9,9060e437-1025-4bda-8014-00466498ea7f,c38a887a-b58a-4f19-b7e0-efa9ae1a271b,d6ee8b49-931a-4c4b-9f4a-1c45cacbabc4,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-I-24,Rodeio ,Sapezal,MT,MACRO IV,REC 402,2024/25,Safra,10/7/2024,2/14/2025,-13.665555,-58.707777,450,Milena Goulart,76KA72,76KA72 CE,STINE,Faixa,19,300,76,1,107
07e13220-4f39-449c-b20f-6f8eca2af43b,bd942fa3-2fd6-4f2f-9153-0cf3564c9e51,50a76909-f21f-483a-9698-925f4d031991,669a5d5d-a060-4db6-a739-8cc593173ef9,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M2-201-D-24,SÍTIO SÃO JOSÉ,Astorga,PR,MACRO II,REC 201,2024/25,Safra,11/9/2024,3/18/2025,-23.281916,-51.747794,700,RAQUEL BARTOLOMEU,NEO 590 I2X,NEO 590 I2X,CHECK,Faixa,12,250,59,1,61
080f347b-7279-4731-8f24-b07484cc264b,5a439ab3-39ed-4170-a454-b23e4722b293,07815001-1909-4722-bd11-fb68c6701cb1,1855d4a7-024c-42c0-b0fa-f0a70ced866f,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-E-24,Três Pinheiros,São Gabriel do Oeste,MS,MACRO III,REC 301,2024/25,Safra,10/30/2024,3/12/2025,-19.3191,-54.64512,660,Luiz Neves,70KA30,70KA30 CE,STINE,Faixa,12,300,70,1,143
081426a5-471f-4ded-bdf5-ea4a1abfda41,909187fe-e212-4968-8e38-48edb4dd803d,68642391-263f-4051-913e-5ec3252b6b08,a512ba74-dcc1-4745-8d13-f41d08e99d49,83e6b5e4-067e-48da-afd6-9fc9fd326829,M1-102-I-24,Xíru,Cruz Alta,RS,MACRO I,REC 102,2024/25,Safra,11/21/2024,,0,0,0,ANDRE LUIS DOS SANTOS RITTER,NEO 610 IPRO,NEO 610 IPRO,CHECK,Faixa,22,250,61,1,83
082464e2-95d1-474f-9cf6-95fd486e15a8,909187fe-e212-4968-8e38-48edb4dd803d,cd84e0ce-02ad-4c0e-ac49-e39f1b930087,a512ba74-dcc1-4745-8d13-f41d08e99d49,83e6b5e4-067e-48da-afd6-9fc9fd326829,M1-102-I-24,Xíru,Cruz Alta,RS,MACRO I,REC 102,2024/25,Safra,11/21/2024,,0,0,0,ANDRE LUIS DOS SANTOS RITTER,77EA40,77EA40 E,STINE,Faixa,35,250,76,1,88
086582c5-6852-4a25-8471-e7fc584824ba,5a439ab3-39ed-4170-a454-b23e4722b293,2c2663ac-0c31-45c6-a11f-136cc1a5548d,1855d4a7-024c-42c0-b0fa-f0a70ced866f,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-E-24,Três Pinheiros,São Gabriel do Oeste,MS,MACRO III,REC 301,2024/25,Safra,10/30/2024,3/12/2025,-19.3191,-54.64512,660,Luiz Neves,DM 74K75 CE,DM 74K75 RSF CE,CHECK,Faixa,21,300,74,1,140
086b26ad-8d30-4e55-b7d0-4850522b7834,3e1c0fb7-9d42-4134-ba92-78f2bf45d31d,121caead-9ab8-4493-acb2-ca1f3acdac07,c3138c6d-17bc-4363-ba33-07b620421254,12351e76-eed4-41fb-bf16-99fb41d513a8,M3-302-A-24,Corrego do cédro_SHG,Santa Helena de Goiás,GO,MACRO III,REC 302,2024/25,Safra,10/31/2024,2/25/2025,-17.847696,-50.720696,500,Lucas Pereira,NC25-51243-2,NC25-51243-2,LINHAGEM,Faixa,28,300,79,1,110
086b2ef2-7fa3-4dfa-8276-fb03d594a7cd,045e37d6-6e4a-41a8-8fe6-480f64f748bb,580e9d6e-e859-40f9-bd15-f110953ae900,b7a51078-c01a-43ff-8374-612f3d87e686,586073f9-041b-4931-9e42-b44975c8b383,M4-401-E-24,Piratini,Primavera do Leste,MT,MACRO IV,REC 401,2024/25,Safra,10/26/2024,2/22/2025,-15.5343,-54.6106,630,Tamila Ribeiro,SPARTA I2X,BMX SPARTA I2X,CHECK,Faixa,34,300,80,1,110
08c4a018-7d8f-4a93-8962-00ff6df4b8f0,3e1c0fb7-9d42-4134-ba92-78f2bf45d31d,431a5034-bdc5-454f-a741-c6b6f20210e3,c3138c6d-17bc-4363-ba33-07b620421254,12351e76-eed4-41fb-bf16-99fb41d513a8,M3-302-A-24,Corrego do cédro_SHG,Santa Helena de Goiás,GO,MACRO III,REC 302,2024/25,Safra,10/31/2024,2/25/2025,-17.847696,-50.720696,500,Lucas Pereira,NC25-51943-4,NC25-51943-4,LINHAGEM,Faixa,5,300,69,1,130
08dea39b-7453-42ca-b010-3e308e51d532,b0129953-4810-4ba8-a69d-bc1e1bfc66de,eda9558d-7963-4cc2-80e8-543ef46e4bfd,5a9cc3ee-09d0-43f0-9aee-d79dba23f0a6,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M2-201-B-24,FAZENDA J&J,Mamborê,PR,MACRO II,REC 201,2024/25,Safra,10/14/2024,2/17/2025,-24.337283,-52.697725,665,RAQUEL BARTOLOMEU,SE25-F-99343,SE25-F-99343,LINHAGEM,Faixa,20,250,60,1,79
09271398-a51e-4233-8616-f6acfd9e5cf7,bd942fa3-2fd6-4f2f-9153-0cf3564c9e51,cb510f62-513a-4cf8-be8f-110475686ce4,669a5d5d-a060-4db6-a739-8cc593173ef9,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M2-201-D-24,SÍTIO SÃO JOSÉ,Astorga,PR,MACRO II,REC 201,2024/25,Safra,11/9/2024,3/18/2025,-23.281916,-51.747794,700,RAQUEL BARTOLOMEU,SC25-97486-6,60KA32 CE,DP2,Faixa,14,250,61,1,69
